t_t_e_1s,t_t_e_2s,t_t_e_1m,t_t_e_2m,t_t_e_3m,t_t_e_6m,t_t_e_9m,t_t_e_12m,date,t_t_p_1s,t_t_p_2s,t_t_p_1m,t_t_p_2m,t_t_p_3m,t_t_p_6m,t_t_p_9m,t_t_p_12m,bid eur,ask eur,bid usd,ask usd,t_e_e_1s,t_e_e_1m,t_e_e_2m,t_e_e_3m,t_e_e_6m,t_e_e_12m,t_e_p_1s,t_e_p_1m,t_e_p_2m,t_e_p_3m,t_e_p_6m,t_e_p_12m,t_u_e_1s,t_u_e_1m,t_u_e_2m,t_u_e_3m,t_u_e_6m,t_u_e_12m,t_u_p_1s,t_u_p_1m,t_u_p_2m,t_u_p_3m,t_u_p_6m,t_u_p_12m
8.37898911765895,8.558989117658951,8.78898911765895,9.068989117658951,9.308989117658951,9.498989117658951,9.718989117658952,10.02898911765895,2019-11-01,7.37898911765895,7.558989117658951,7.78898911765895,8.068989117658951,8.308989117658951,8.498989117658951,8.718989117658952,9.02898911765895,3.4398,3.4698,2.9992,3.0122,-0.44171000000000005,-0.41843,-0.36929,-0.32857,-0.29686,-0.172,-1.44171,-1.41843,-1.36929,-1.32857,-1.2968600000000001,-1.172,2.407,2.50894,2.648,2.7873099999999997,2.86463,3.0186900000000003,1.407,1.50894,1.6480000000000001,1.7873099999999997,1.86463,2.0186900000000003
8.20789192494654,8.387891924946542,8.61789192494654,8.897891924946542,9.137891924946542,9.327891924946542,9.547891924946542,9.857891924946541,2019-10-31,7.207891924946541,7.387891924946542,7.617891924946541,7.897891924946542,8.137891924946542,8.327891924946542,8.547891924946542,8.857891924946541,3.1477,3.1777,2.8226,2.8356,-0.5432899999999999,-0.51457,-0.46213999999999994,-0.44,-0.40471,-0.30329,-1.5432899999999998,-1.51457,-1.46214,-1.44,-1.4047100000000001,-1.30329,1.659,1.78488,1.84,1.90225,1.91625,1.95538,0.659,0.78488,0.8400000000000001,0.90225,0.91625,0.9553799999999999
7.329074780395179,7.5090747803951805,7.739074780395179,8.01907478039518,8.25907478039518,8.44907478039518,8.66907478039518,8.979074780395178,2019-10-30,6.329074780395179,6.5090747803951805,6.739074780395179,7.019074780395179,7.25907478039518,7.449074780395179,7.66907478039518,7.9790747803951785,3.1548,3.1848,2.8295,2.8425,-0.53271,-0.5082899999999999,-0.46129,-0.43743000000000004,-0.40129000000000004,-0.30029,-1.53271,-1.50829,-1.46129,-1.43743,-1.40129,-1.30029,1.68,1.78138,1.859,1.90913,1.9195,1.9798799999999999,0.6799999999999999,0.78138,0.859,0.90913,0.9195,0.9798799999999999
7.320175675695589,7.500175675695591,7.730175675695589,8.01017567569559,8.25017567569559,8.44017567569559,8.66017567569559,8.97017567569559,2019-10-29,6.320175675695589,6.500175675695591,6.730175675695589,7.01017567569559,7.250175675695591,7.44017567569559,7.660175675695591,7.9701756756955895,3.1521,3.1821,2.8366,2.8495999999999997,-0.53014,-0.50457,-0.45586000000000004,-0.43586,-0.40157,-0.29929,-1.5301399999999998,-1.50457,-1.45586,-1.43586,-1.40157,-1.29929,1.71038,1.78588,1.86313,1.92713,1.9298799999999998,1.98875,0.71038,0.7858799999999999,0.86313,0.92713,0.9298799999999998,0.98875
9.233465297270373,9.413465297270374,9.643465297270373,9.923465297270374,10.163465297270374,10.353465297270374,10.573465297270374,10.883465297270373,2019-10-28,8.233465297270373,8.413465297270374,8.643465297270373,8.923465297270374,9.163465297270374,9.353465297270374,9.573465297270374,9.883465297270373,3.1503,3.1803,2.8381,2.8510999999999997,-0.53214,-0.50229,-0.45729,-0.435,-0.40243,-0.29986,-1.53214,-1.50229,-1.45729,-1.435,-1.40243,-1.29986,1.75125,1.7996299999999998,1.88263,1.9355,1.9398799999999998,1.99525,0.75125,0.7996299999999998,0.88263,0.9355,0.9398799999999998,0.99525
9.184084987112053,9.364084987112054,9.594084987112053,9.874084987112054,10.114084987112054,10.304084987112054,10.524084987112055,10.834084987112053,2019-10-25,8.184084987112053,8.364084987112054,8.594084987112053,8.874084987112054,9.114084987112054,9.304084987112054,9.524084987112055,9.834084987112053,3.1479,3.1779,2.8411,2.8541,-0.52786,-0.497,-0.45714,-0.43128999999999995,-0.40457,-0.30329,-1.52786,-1.4969999999999999,-1.4571399999999999,-1.43129,-1.40457,-1.30329,1.78625,1.8048799999999998,1.881,1.92813,1.93325,1.95575,0.7862499999999999,0.8048799999999998,0.881,0.9281299999999999,0.9332499999999999,0.9557500000000001
8.00220845764047,8.182208457640472,8.412208457640471,8.692208457640472,8.932208457640472,9.122208457640472,9.342208457640472,9.652208457640471,2019-10-24,7.002208457640471,7.182208457640472,7.412208457640471,7.692208457640472,7.932208457640472,8.122208457640472,8.342208457640472,8.652208457640471,3.1511,3.1811,2.8377,2.8507,-0.53257,-0.49728999999999995,-0.45443,-0.43,-0.40571,-0.30914,-1.53257,-1.49729,-1.45443,-1.43,-1.40571,-1.30914,1.8135,1.80425,1.88575,1.93563,1.932,1.96088,0.8134999999999999,0.8042499999999999,0.88575,0.93563,0.9319999999999999,0.96088
8.557402394599373,8.737402394599375,8.967402394599373,9.247402394599375,9.487402394599375,9.677402394599374,9.897402394599375,10.207402394599374,2019-10-23,7.557402394599373,7.737402394599375,7.9674023945993735,8.247402394599375,8.487402394599375,8.677402394599374,8.897402394599375,9.207402394599374,3.1542,3.1842,2.8338,2.8468,-0.54143,-0.498,-0.45829,-0.432,-0.40557,-0.31656999999999996,-1.54143,-1.498,-1.4582899999999999,-1.432,-1.40557,-1.31657,1.83575,1.82275,1.89763,1.93963,1.914,1.94275,0.83575,0.8227500000000001,0.8976299999999999,0.93963,0.9139999999999999,0.94275
8.007577039770577,8.18757703977058,8.417577039770578,8.697577039770579,8.93757703977058,9.127577039770578,9.34757703977058,9.65757703977058,2019-10-22,7.007577039770577,7.187577039770581,7.417577039770578,7.697577039770579,7.937577039770581,8.127577039770578,8.34757703977058,8.65757703977058,3.1536,3.1836,2.8347,2.8477,-0.54857,-0.49643000000000004,-0.45357,-0.43,-0.40271,-0.31386,-1.54857,-1.4964300000000001,-1.45357,-1.43,-1.40271,-1.31386,1.84513,1.82175,1.88463,1.936,1.9325,1.96725,0.8451299999999999,0.82175,0.88463,0.9359999999999999,0.9325000000000001,0.9672499999999999
8.164029567588225,8.344029567588226,8.574029567588225,8.854029567588226,9.094029567588226,9.284029567588226,9.504029567588226,9.814029567588225,2019-10-21,7.164029567588225,7.344029567588226,7.574029567588225,7.854029567588226,8.094029567588226,8.284029567588226,8.504029567588226,8.814029567588225,3.1564,3.1864,2.8312,2.8442,-0.55786,-0.5008600000000001,-0.45343,-0.43213999999999997,-0.40243,-0.312,-1.55786,-1.50086,-1.45343,-1.43214,-1.40243,-1.312,1.84375,1.823,1.8975,1.934,1.93425,1.9606299999999999,0.84375,0.823,0.8975,0.9339999999999999,0.93425,0.9606299999999999
